ALU_opration a     b    | result zero
0010         1010  0000 | 1010   0
0010         1010  0001 | 1011   0
0010         1010  0010 | 1100   0
0010         1010  0011 | 1101   0
0010         1010  0100 | 1110   0
0010         1010  0101 | 1111   0
0010         1010  0110 | 0000   1
0010         1010  0111 | 0001   0
0010         1010  1000 | 0010   0
0010         1010  1001 | 0011   0
0010         1010  1010 | 0100   0
0010         1010  1011 | 0101   0
0010         1010  1100 | 0110   0
0010         1010  1101 | 0111   0
0010         1010  1110 | 1000   0
0010         1010  1111 | 1001   0
