ALU_opration a     b    | result zero
0000         1010  0000 | 0000   1
0000         1010  0001 | 0000   1
0000         1010  0010 | 0010   0
0000         1010  0011 | 0010   0
0000         1010  0100 | 0000   1
0000         1010  0101 | 0000   1
0000         1010  0110 | 0010   0
0000         1010  0111 | 0010   0
0000         1010  1000 | 1000   0
0000         1010  1001 | 1000   0
0000         1010  1010 | 1010   0
0000         1010  1011 | 1010   0
0000         1010  1100 | 1000   0
0000         1010  1101 | 1000   0
0000         1010  1110 | 1010   0
0000         1010  1111 | 1010   0
0001         1010  0000 | 1010   0
0001         1010  0001 | 1011   0
0001         1010  0010 | 1010   0
0001         1010  0011 | 1011   0
0001         1010  0100 | 1110   0
0001         1010  0101 | 1111   0
0001         1010  0110 | 1110   0
0001         1010  0111 | 1111   0
0001         1010  1000 | 1010   0
0001         1010  1001 | 1011   0
0001         1010  1010 | 1010   0
0001         1010  1011 | 1011   0
0001         1010  1100 | 1110   0
0001         1010  1101 | 1111   0
0001         1010  1110 | 1110   0
0001         1010  1111 | 1111   0
0010         1010  0000 | 1010   0
0010         1010  0001 | 1011   0
0010         1010  0010 | 1100   0
0010         1010  0011 | 1101   0
0010         1010  0100 | 1110   0
0010         1010  0101 | 1111   0
0010         1010  0110 | 0000   1
0010         1010  0111 | 0001   0
0010         1010  1000 | 0010   0
0010         1010  1001 | 0011   0
0010         1010  1010 | 0100   0
0010         1010  1011 | 0101   0
0010         1010  1100 | 0110   0
0010         1010  1101 | 0111   0
0010         1010  1110 | 1000   0
0010         1010  1111 | 1001   0
0110         1010  0000 | 1010   0
0110         1010  0001 | 1001   0
0110         1010  0010 | 1000   0
0110         1010  0011 | 0111   0
0110         1010  0100 | 0110   0
0110         1010  0101 | 0101   0
0110         1010  0110 | 0100   0
0110         1010  0111 | 0011   0
0110         1010  1000 | 0010   0
0110         1010  1001 | 0001   0
0110         1010  1010 | 0000   1
0110         1010  1011 | 1111   0
0110         1010  1100 | 1110   0
0110         1010  1101 | 1101   0
0110         1010  1110 | 1100   0
0110         1010  1111 | 1011   0
