ALU_opration a     b    | result zero
0000         0011  0000 | 0000   1
0000         0011  0001 | 1000   0
0000         0011  0010 | 0100   0
0000         0011  0011 | 1100   0
0000         0011  0100 | 0000   1
0000         0011  0101 | 1000   0
0000         0011  0110 | 0100   0
0000         0011  0111 | 1100   0
0000         0011  1000 | 0000   1
0000         0011  1001 | 1000   0
0000         0011  1010 | 0100   0
0000         0011  1011 | 1100   0
0000         0011  1100 | 0000   1
0000         0011  1101 | 1000   0
0000         0011  1110 | 0100   0
0000         0011  1111 | 1100   0
